status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,probe_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,host_controller_initialization_seconds,host_commissioning_seconds,host_ordinary_update_seconds,host_probe_update_seconds,traffic_scalars,traffic_bytes_float64,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,False,1.0.0-local-freeze,4,1239900679,do_nothing,True,False,,,,0,40,0,40,0,,0.16122295285872965,0.4472294626502149,,0.41508132475428283,0.0014156247489154339,1.9512022845447063e-05,0.0,0.0013961127260699868,0.0,320,2560,1.0,,,
PASS,False,1.0.0-local-freeze,4,1239900679,retained_residual,True,True,12,7,12,0,12,0,12,1,13,0.021461474611541284,0.041549938159314376,0.98876953125,0.13576949201524258,0.00217554101254791,0.00021711899898946285,0.0,0.0019584220135584474,0.0,96,768,6.0,11,,
PASS,False,1.0.0-local-freeze,4,1239900679,diagonal_secant,True,True,6,4,6,0,6,0,6,1,7,0.02155016449513683,0.07438178558902173,0.982421875,0.06263995298650116,0.001080083951819688,0.0002886829897761345,0.0,0.0007914009620435536,0.0,48,384,4.0,5,,
PASS,False,1.0.0-local-freeze,4,1239900679,anderson_residual,True,True,12,10,12,0,12,0,12,1,13,0.022348537332348747,0.05052767769139474,0.98681640625,0.1252328140544705,0.005228727939538658,0.00033934100065380335,0.0,0.004889386938884854,0.0,96,768,16.0,11,,
PASS,False,1.0.0-local-freeze,4,1239900679,commissioned_pi,True,True,12,10,12,2,10,0,12,1,13,0.033659104051775315,0.014229988042714357,0.99267578125,0.12270983308553696,0.0023498459486290812,6.242399103939533e-05,0.00010088598355650902,0.002186535974033177,0.0,96,768,3.0,9,,
FAIL_CONTRACT_TIMEOUT,False,1.0.0-local-freeze,4,1239900679,spsa,True,False,,,,0,14,26,40,0,,0.15034771591978627,0.41755316243475094,,0.38795436202781275,0.00087773083942011,0.00017352699069306254,0.0,0.0,0.0007042038487270474,320,2560,2.0,,,
PASS,False,1.0.0-local-freeze,4,1239900679,oracle,False,True,3,1,3,0,3,0,3,1,4,0.023964986015712095,1.3877787807814457e-17,0.9931640625,0.039620661991648376,0.00011996994726359844,4.8520974814891815e-05,0.0,7.144897244870663e-05,0.0,24,192,1.0,2,,
FAIL_CONTRACT_TIMEOUT,False,1.0.0-local-freeze,4,1573996,do_nothing,True,False,,,,0,40,0,40,0,,0.17133197834014685,0.4502082007521088,,0.3322275109239854,0.0012858082773163915,3.8356054574251175e-05,0.0,0.0012474522227421403,0.0,320,2560,1.0,,,
PASS,False,1.0.0-local-freeze,4,1573996,retained_residual,True,True,13,9,13,0,13,0,13,1,14,0.025857304608306538,0.07959602010030543,0.9833984375,0.1295130581711419,0.0022974751191213727,0.00036641297629103065,0.0,0.001931062142830342,0.0,104,832,6.0,12,,
PASS,False,1.0.0-local-freeze,4,1573996,diagonal_secant,True,True,8,6,8,0,8,0,8,1,9,0.029629912488192103,0.04870260701129355,0.9892578125,0.08275450603105128,0.0013211639015935361,0.00022640801034867764,0.0,0.0010947558912448585,0.0,64,512,4.0,7,,
PASS,False,1.0.0-local-freeze,4,1573996,anderson_residual,True,True,9,7,9,0,9,0,9,1,10,0.017553099726406958,0.07876103484881788,0.98291015625,0.09465508197899908,0.002497113891877234,0.0002544199815019965,0.0,0.0022426939103752375,0.0,72,576,16.0,8,,
PASS,False,1.0.0-local-freeze,4,1573996,commissioned_pi,True,True,7,5,7,2,5,0,7,1,8,0.032064550813817844,0.07991738092494935,0.9853515625,0.08190467301756144,0.0005154999671503901,6.544799543917179e-05,9.376101661473513e-05,0.00035629095509648323,0.0,56,448,3.0,4,,
FAIL_CONTRACT_TIMEOUT,False,1.0.0-local-freeze,4,1573996,spsa,True,False,,,,0,14,26,40,0,,0.17435217738770656,0.41676177948116777,,0.4147370280115865,0.0007637850358150899,0.00020667299395427108,0.0,0.0,0.0005571120418608189,320,2560,2.0,,,
PASS,False,1.0.0-local-freeze,4,1573996,oracle,False,True,3,1,3,0,3,0,3,1,4,0.013787462179455454,0.0,0.9931640625,0.039541950973216444,0.00010494794696569443,3.911898238584399e-05,0.0,6.582896457985044e-05,0.0,24,192,1.0,2,,
FAIL_CONTRACT_TIMEOUT,False,1.0.0-local-freeze,4,1558604323,do_nothing,True,False,,,,0,40,0,40,0,,0.15515482468733097,0.44811701413645716,,0.3748030680580996,0.0013954390306025743,3.168999683111906e-05,0.0,0.0013637490337714553,0.0,320,2560,1.0,,,
PASS,False,1.0.0-local-freeze,4,1558604323,retained_residual,True,True,10,8,10,0,10,0,10,1,11,0.01873729593319817,0.04096879220000506,0.98828125,0.12918577098753303,0.0017459659720771015,0.00034883199259638786,0.0,0.0013971339794807136,0.0,80,640,6.0,9,,
