status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,probe_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,host_controller_initialization_seconds,host_commissioning_seconds,host_ordinary_update_seconds,host_probe_update_seconds,traffic_scalars,traffic_bytes_float64,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,True,1.0.0-post-confirmation-million-extension,1000000,363562250,do_nothing,True,False,,,,0,40,0,40,0,,0.18222612256715584,0.4500614753887132,,13.98686429503141,0.09905977186281234,0.0011932870256714523,0.0,0.09786648483714089,0.0,80000000,640000000,1.0,,,
PASS,True,1.0.0-post-confirmation-million-extension,1000000,363562250,retained_residual,True,True,12,10,12,0,12,0,12,1,13,0.030954410992269733,0.22211256966348433,0.98749029296875,5.963168441085145,2.195624062034767,0.05698473704978824,0.0,2.138639324984979,0.0,24000000,192000000,6.0,11,,
PASS,True,1.0.0-post-confirmation-million-extension,1000000,363562250,anderson_residual,True,True,11,9,11,0,11,0,11,1,12,0.03143755325214282,0.1679997476089833,0.98847694921875,5.865889429987874,3.1321001930045895,0.06948156596627086,0.0,3.0626186270383187,0.0,22000000,176000000,16.0,10,,
PASS,True,1.0.0-post-confirmation-million-extension,1000000,363562250,oracle,False,True,3,1,3,0,3,0,3,1,4,0.02321001280974906,0.000951506487312544,0.994990666015625,1.9346288830274716,0.01850437297252938,0.007559415011201054,0.0,0.010944957961328328,0.0,6000000,48000000,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,1.0.0-post-confirmation-million-extension,1000000,1887410070,do_nothing,True,False,,,,0,40,0,40,0,,0.18225368759691915,0.4500470331411393,,21.389185388106853,0.16398941981606185,0.0018506749765947461,0.0,0.1621387448394671,0.0,80000000,640000000,1.0,,,
PASS,True,1.0.0-post-confirmation-million-extension,1000000,1887410070,retained_residual,True,True,12,10,12,0,12,0,12,1,13,0.030890581836197546,0.2228389540098997,0.987496189453125,4.728706412017345,1.7474198700510897,0.061748563952278346,0.0,1.6856713060988113,0.0,24000000,192000000,6.0,11,,
PASS,True,1.0.0-post-confirmation-million-extension,1000000,1887410070,anderson_residual,True,True,11,9,11,0,11,0,11,1,12,0.03141701523859808,0.16657518558925827,0.988525080078125,4.906103208952118,2.2722093610209413,0.08978993503842503,0.0,2.1824194259825163,0.0,22000000,176000000,16.0,10,,
PASS,True,1.0.0-post-confirmation-million-extension,1000000,1887410070,oracle,False,True,3,1,3,0,3,0,3,1,4,0.02324715924597533,0.001590773962056528,0.99500041015625,1.5673206390347332,0.009423826995771378,0.005297792959026992,0.0,0.004126034036744386,0.0,6000000,48000000,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,1.0.0-post-confirmation-million-extension,1000000,1995851660,do_nothing,True,False,,,,0,40,0,40,0,,0.18225511139045417,0.45006196317557534,,20.77512903395109,0.16156256425892934,0.0010741150472313166,0.0,0.16048844921169803,0.0,80000000,640000000,1.0,,,
PASS,True,1.0.0-post-confirmation-million-extension,1000000,1995851660,retained_residual,True,True,12,10,12,0,12,0,12,1,13,0.03091620399706421,0.22078338653890892,0.98755023046875,7.0875734418514185,2.56071853893809,0.1328519100206904,0.0,2.4278666289174,0.0,24000000,192000000,6.0,11,,
