status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,probe_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,host_controller_initialization_seconds,host_commissioning_seconds,host_ordinary_update_seconds,host_probe_update_seconds,traffic_scalars,traffic_bytes_float64,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,False,1.0.0-local-freeze,16,1239900679,do_nothing,True,False,,,,0,40,0,40,0,,0.1705337994010771,0.4458667840788376,,0.020432683115359396,0.0007431389531120658,1.4477991499006748e-05,0.0,0.000728660961613059,0.0,1280,10240,1.0,,,
PASS,False,1.0.0-local-freeze,16,1239900679,retained_residual,True,True,12,10,12,0,12,0,12,1,13,0.02468025052792031,0.04463171989319816,0.9927978515625,0.0032829809933900833,0.0012645910028368235,0.00013861001934856176,0.0,0.0011259809834882617,0.0,384,3072,6.0,11,,
PASS,False,1.0.0-local-freeze,16,1239900679,diagonal_secant,True,True,12,5,12,0,12,0,12,1,13,0.022825842835323372,0.03864128996727154,0.993408203125,0.005504304950591177,0.0015422170981764793,0.00024951499653980136,0.0,0.001292702101636678,0.0,384,3072,4.0,11,,
PASS,False,1.0.0-local-freeze,16,1239900679,anderson_residual,True,True,11,9,11,0,11,0,11,1,12,0.02770458286879445,0.049029088114102844,0.9921875,0.008739971905015409,0.0036334451870061457,0.0003471759846433997,0.0,0.003286269202362746,0.0,352,2816,16.0,10,,
PASS,False,1.0.0-local-freeze,16,1239900679,commissioned_pi,True,True,10,6,10,2,8,0,10,1,11,0.03464926631585598,0.05482652594552451,0.9913330078125,0.00957092602038756,0.0009826389723457396,0.00013552099699154496,0.00011963094584643841,0.0007274870295077562,0.0,320,2560,3.0,7,,
FAIL_CONTRACT_TIMEOUT,False,1.0.0-local-freeze,16,1239900679,spsa,True,False,,,,0,14,26,40,0,,0.1657639784089761,0.43457168478348135,,0.014384570007678121,0.0005463029956445098,0.00015228602569550276,0.0,0.0,0.00039401696994900703,1280,10240,2.0,,,
PASS,False,1.0.0-local-freeze,16,1239900679,oracle,False,True,3,1,3,0,3,0,3,1,4,0.024914607599802005,0.0,0.9959716796875,0.0020542260026559234,7.412699051201344e-05,2.836901694536209e-05,0.0,4.5757973566651344e-05,0.0,96,768,1.0,2,,
FAIL_CONTRACT_TIMEOUT,False,1.0.0-local-freeze,16,1573996,do_nothing,True,False,,,,0,40,0,40,0,,0.18752281725650233,0.4462035712938466,,0.023295715975109488,0.0012761480174958706,4.5872991904616356e-05,0.0,0.0012302750255912542,0.0,1280,10240,1.0,,,
PASS,False,1.0.0-local-freeze,16,1573996,retained_residual,True,True,19,9,19,0,19,0,19,1,20,0.030877335066275702,0.036101451796845034,0.9935302734375,0.013674347836058587,0.005088805046398193,0.00022738997358828783,0.0,0.004861415072809905,0.0,608,4864,6.0,18,,
PASS,False,1.0.0-local-freeze,16,1573996,diagonal_secant,True,True,22,12,22,0,22,0,22,1,23,0.02195306540375898,0.03813420269464331,0.9925537109375,0.018372770922724158,0.003860647091642022,0.0002684150240384042,0.0,0.003592232067603618,0.0,704,5632,4.0,21,,
