status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,probe_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,host_commissioning_seconds,host_ordinary_update_seconds,host_probe_update_seconds,traffic_scalars,traffic_bytes_float64,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,340001,do_nothing,True,False,,,,0,40,0,40,0,,0.19127822019523585,0.4497607523193427,,0.30737052927725017,0.0018926060292869806,0.0,0.0018926060292869806,0.0,320,2560,1.0,,,
PASS,True,0.2.0-development,4,340001,retained_residual,True,True,13,8,13,0,13,0,13,1,14,0.029290770848459633,0.046930033410901725,0.986328125,0.10817264096112922,0.0030720849172212183,0.0,0.0030720849172212183,0.0,104,832,6.0,12,,
PASS,True,0.2.0-development,4,340001,diagonal_secant,True,True,7,5,7,0,7,0,7,1,8,0.029290770848459633,0.044571875585929635,0.9873046875,0.06771536299493164,0.0009019179851748049,0.0,0.0009019179851748049,0.0,56,448,4.0,6,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,340001,anderson_residual,True,False,,12,,0,40,0,40,0,,0.034912963003113015,0.09335865053985777,,0.3363351579173468,0.014327080978546292,0.0,0.014327080978546292,0.0,320,2560,16.0,,,
PASS,True,0.2.0-development,4,340001,commissioned_pi,True,True,18,5,18,2,16,0,18,1,19,0.023753264353428304,0.059598921643453664,0.9853515625,0.15590872714528814,0.0015858910628594458,0.00016343698371201754,0.0014224540791474283,0.0,144,1152,3.0,15,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,340001,spsa,True,False,,,,0,14,26,40,0,,0.1489445908971915,0.3401324809551647,,0.380220398074016,0.0005473500350490212,0.0,0.0,0.0005473500350490212,320,2560,2.0,,,
PASS,True,0.2.0-development,4,340001,oracle,False,True,3,1,3,0,3,0,3,1,4,0.01722532791246351,5.551115123125783e-17,0.98974609375,0.028636707982514054,5.1959999836981297e-05,0.0,5.1959999836981297e-05,0.0,24,192,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,340002,do_nothing,True,False,,,,0,40,0,40,0,,0.15466708424254205,0.4545290729387048,,0.37709630228346214,0.001314577937591821,0.0,0.001314577937591821,0.0,320,2560,1.0,,,
PASS,True,0.2.0-development,4,340002,retained_residual,True,True,10,8,10,0,10,0,10,1,11,0.008973621069086477,0.04480281945087213,0.986328125,0.09502608206821606,0.0013494060258381069,0.0,0.0013494060258381069,0.0,80,640,6.0,9,,
PASS,True,0.2.0-development,4,340002,diagonal_secant,True,True,10,5,10,0,10,0,10,1,11,0.02200924687692879,0.02720200776329674,0.9921875,0.11620119801955298,0.0019500328926369548,0.0,0.0019500328926369548,0.0,80,640,4.0,9,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,340002,anderson_residual,True,False,,14,,0,40,0,40,0,,0.060707617241225816,0.09283412095279633,,0.3411688161431812,0.014736391953192651,0.0,0.014736391953192651,0.0,320,2560,16.0,,,
PASS,True,0.2.0-development,4,340002,commissioned_pi,True,True,10,6,10,2,8,0,10,1,11,0.016898693828781456,0.01654891244318186,0.99365234375,0.08703185088234022,0.0007525159744545817,7.01600220054388e-05,0.0006823559524491429,0.0,80,640,3.0,7,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,340002,spsa,True,False,,,,0,14,26,40,0,,0.1483344674156355,0.42187816334289274,,0.335352199326735,0.0005123238661326468,0.0,0.0,0.0005123238661326468,320,2560,2.0,,,
PASS,True,0.2.0-development,4,340002,oracle,False,True,3,1,3,0,3,0,3,1,4,0.0349377091457815,3.469446951953614e-18,0.994140625,0.03312792704673484,4.9415044486522675e-05,0.0,4.9415044486522675e-05,0.0,24,192,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,340001,do_nothing,True,False,,,,0,40,0,40,0,,0.2006243875975487,0.44884217157703743,,1.660002750752028,0.0012689550057984889,0.0,0.0012689550057984889,0.0,640,5120,1.0,,,
PASS,True,0.2.0-development,8,340001,retained_residual,True,True,19,10,19,0,19,0,19,1,20,0.026361959433586685,0.04167330750416637,0.988037109375,1.012380451138597,0.003368354286067188,0.0,0.003368354286067188,0.0,304,2432,6.0,18,,
PASS,True,0.2.0-development,8,340001,diagonal_secant,True,True,14,4,14,0,14,0,14,1,15,0.016750564608381247,0.03196832696181009,0.989013671875,0.7893586320569739,0.00227011414244771,0.0,0.00227011414244771,0.0,224,1792,4.0,13,,
PASS,True,0.2.0-development,8,340001,anderson_residual,True,True,17,15,17,0,17,0,17,1,18,0.03255537652205871,0.060552151090930754,0.98486328125,1.130847082938999,0.005361758987419307,0.0,0.005361758987419307,0.0,272,2176,16.0,16,,
PASS,True,0.2.0-development,8,340001,commissioned_pi,True,True,21,9,21,2,19,0,21,1,22,0.016803855332715053,0.042545853320149776,0.988037109375,0.7304814520757645,0.0019072768627665937,9.272195165976882e-05,0.0018145549111068249,0.0,336,2688,3.0,18,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,340001,spsa,True,False,,,,0,14,26,40,0,,0.19429749918593156,0.4318732609079612,,1.5144944839994423,0.0005449398886412382,0.0,0.0,0.0005449398886412382,640,5120,2.0,,,
PASS,True,0.2.0-development,8,340001,oracle,False,True,3,1,3,0,3,0,3,1,4,0.031081100843061312,0.0,0.990234375,0.19766719790641218,6.124802166596055e-05,0.0,6.124802166596055e-05,0.0,48,384,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,340002,do_nothing,True,False,,,,0,40,0,40,0,,0.17770748144559015,0.4482341361351046,,1.4960442989249714,0.0014545849990099669,0.0,0.0014545849990099669,0.0,640,5120,1.0,,,
PASS,True,0.2.0-development,8,340002,retained_residual,True,True,9,7,9,0,9,0,9,1,10,0.03138667260328602,0.05683891834682118,0.98193359375,0.4578062068903819,0.0012270509032532573,0.0,0.0012270509032532573,0.0,144,1152,6.0,8,,
PASS,True,0.2.0-development,8,340002,diagonal_secant,True,True,14,3,14,0,14,0,14,1,15,0.021803309266868753,0.04255059673598358,0.98681640625,0.7425302681513131,0.0022451800759881735,0.0,0.0022451800759881735,0.0,224,1792,4.0,13,,
PASS,True,0.2.0-development,8,340002,anderson_residual,True,True,9,7,9,0,9,0,9,1,10,0.034600528077136414,0.06982483277308354,0.981689453125,0.45943047996843234,0.0020488789887167513,0.0,0.0020488789887167513,0.0,144,1152,16.0,8,,
PASS,True,0.2.0-development,8,340002,commissioned_pi,True,True,10,6,10,2,8,0,10,1,11,0.020675158054711717,0.042864994346460024,0.987060546875,0.5681813819683157,0.0007259139674715698,9.168504038825631e-05,0.0006342289270833135,0.0,160,1280,3.0,7,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,340002,spsa,True,False,,,,0,14,26,40,0,,0.17462688332663706,0.43161771877233557,,1.6640973048633896,0.0005506898742169142,0.0,0.0,0.0005506898742169142,640,5120,2.0,,,
PASS,True,0.2.0-development,8,340002,oracle,False,True,3,1,3,0,3,0,3,1,4,0.025161442428096377,6.133173666733497e-19,0.9921875,0.13889709603972733,5.580391734838486e-05,0.0,5.580391734838486e-05,0.0,48,384,1.0,2,,
