status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,320001,do_nothing,True,False,,,,0,40,40,0,,0.1872601266148451,0.4495277938222544,,0.011248505266848952,0.0006654110038653016,1.0,,,
PASS,True,0.2.0-development,16,320001,retained_residual,True,True,16,11,16,0,16,16,1,17,0.03314546178029663,0.054640520324582435,0.990478515625,0.004591351898852736,0.0023400040226988494,6.0,15,,
PASS,True,0.2.0-development,16,320001,diagonal_secant,True,True,14,12,14,0,14,14,1,15,0.03019242059398234,0.04230236508505555,0.9923095703125,0.004800471884664148,0.0014941458939574659,4.0,13,,
PASS,True,0.2.0-development,16,320001,anderson_residual,True,True,21,15,21,0,21,21,1,22,0.030495902947109542,0.06157503166870368,0.98876953125,0.008677355130203068,0.007175617967732251,16.0,20,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,320001,commissioned_pi,True,False,,5,,2,38,40,0,,0.04598848154368972,0.08497379777923546,,0.1078417538665235,0.017805896990466863,3.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,320001,spsa,True,False,,,,0,14,40,0,,0.18572135551752142,0.4457051254986887,,0.028641250974033028,0.0030642420751973987,2.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,320002,do_nothing,True,False,,,,0,40,40,0,,0.19220415523902007,0.44769792843204176,,0.024898769799619913,0.007089755905326456,1.0,,,
PASS,True,0.2.0-development,16,320002,retained_residual,True,True,12,6,12,0,12,12,1,13,0.02709988430674164,0.032077426768928406,0.9921875,0.005987571086734533,0.00217409705510363,6.0,11,,
PASS,True,0.2.0-development,16,320002,diagonal_secant,True,True,20,8,20,0,20,20,1,21,0.02231884668949391,0.03503355938367385,0.9923095703125,0.0068885431392118335,0.0018923311145044863,4.0,19,,
PASS,True,0.2.0-development,16,320002,anderson_residual,True,True,12,6,12,0,12,12,1,13,0.026753457264886055,0.04474299688115273,0.9903564453125,0.004817478999029845,0.0026019089855253696,16.0,11,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,320002,commissioned_pi,True,False,,10,,2,38,40,0,,0.059683894702615245,0.1036640226726699,,0.02694102976238355,0.008796330948825926,3.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,320002,spsa,True,False,,,,0,14,40,0,,0.18779671556659777,0.436502793722577,,0.020958514825906605,0.0004269331111572683,2.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,320003,do_nothing,True,False,,,,0,40,40,0,,0.18783072272137763,0.4507451299709415,,0.018329724785871804,0.0011493249330669641,1.0,,,
PASS,True,0.2.0-development,16,320003,retained_residual,True,True,9,7,9,0,9,9,1,10,0.02619546140588066,0.03328185836221547,0.9935302734375,0.005161510081961751,0.0012804839643649757,6.0,8,,
