status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310001,do_nothing,True,False,,,,0,40,40,0,,0.18998560844677947,0.4494756662659086,,0.013978181348647922,0.0008594460086897016,1.0,,,
PASS,True,0.2.0-development,4,310001,retained_residual,True,True,25,7,25,0,25,25,1,26,0.02566816787746983,0.05952668120245447,0.98779296875,0.015241072978824377,0.00436052493751049,6.0,24,,
PASS,True,0.2.0-development,4,310001,diagonal_secant,True,True,5,3,5,0,5,5,1,6,0.02514263234680488,0.05477592184228705,0.9892578125,0.0038567360606975853,0.0008190940716303885,4.0,4,,
PASS,True,0.2.0-development,4,310001,anderson_residual,True,True,32,7,32,0,32,32,1,33,0.03151376984885123,0.05339654308503982,0.98876953125,0.02007672592299059,0.015505203045904636,16.0,31,,
PASS,True,0.2.0-development,4,310001,commissioned_pi,True,True,16,5,16,2,14,16,1,17,0.023992639664687353,0.06043572733202686,0.98779296875,0.008549882099032402,0.001291206106543541,3.0,13,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310001,spsa,True,False,,,,0,14,40,0,,0.17617918113563666,0.41091423467616084,,0.02234926214441657,0.0006710310117341578,2.0,,,
PASS,True,0.2.0-development,4,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.015757475970887072,0.0,0.99462890625,0.001622073003090918,5.878799129277468e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310002,do_nothing,True,False,,,,0,40,40,0,,0.19675110294124992,0.452658657596236,,0.01886910171015188,0.0014128900365903974,1.0,,,
PASS,True,0.2.0-development,4,310002,retained_residual,True,True,19,7,19,0,19,19,1,20,0.009761809557385134,0.048219243460042464,0.98974609375,0.006739925011061132,0.001566861115861684,6.0,18,,
PASS,True,0.2.0-development,4,310002,diagonal_secant,True,True,12,8,12,0,12,12,1,13,0.021998072864917114,0.02437305129634803,0.99365234375,0.00681477808393538,0.00195515708765015,4.0,11,,
PASS,True,0.2.0-development,4,310002,anderson_residual,True,True,18,7,18,0,18,18,1,19,0.028272654454818524,0.07202167548989907,0.98486328125,0.005341666983440518,0.002987442130688578,16.0,17,,
PASS,True,0.2.0-development,4,310002,commissioned_pi,True,True,12,7,12,2,10,12,1,13,0.03375393138169831,0.11182388121426577,0.97705078125,0.003773530072066933,0.00046058098087087274,3.0,9,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310002,spsa,True,False,,,,0,14,40,0,,0.1884510635757898,0.4311779966064414,,0.02213080710498616,0.0005404939292930067,2.0,,,
PASS,True,0.2.0-development,4,310002,oracle,False,True,3,1,3,0,3,3,1,4,0.01861041884613565,0.0,0.9951171875,0.003529454057570547,6.428395863622427e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,310001,do_nothing,True,False,,,,0,40,40,0,,0.18936223868376514,0.45228288377537074,,0.027299247914925218,0.001970444922335446,1.0,,,
PASS,True,0.2.0-development,8,310001,retained_residual,True,True,18,7,18,0,18,18,1,19,0.026990930331995136,0.05515217480129887,0.990478515625,0.011337317118886858,0.0025382450548931956,6.0,17,,
PASS,True,0.2.0-development,8,310001,diagonal_secant,True,True,9,7,9,0,9,9,1,10,0.025178906917752514,0.02942365901071424,0.99365234375,0.005559157987590879,0.0010974559700116515,4.0,8,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,310001,anderson_residual,True,False,,7,,0,40,40,0,,0.05018403932319115,0.0768353420623711,,0.024155746155884117,0.017489599355030805,16.0,,,
PASS,True,0.2.0-development,8,310001,commissioned_pi,True,True,8,6,8,2,6,8,1,9,0.03245176752710694,0.08771212319904577,0.98291015625,0.0024948458885774016,0.0003569969558157027,3.0,5,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,310001,spsa,True,False,,,,0,14,40,0,,0.1842316239754734,0.43670902434939124,,0.022158964886330068,0.0005330938729457557,2.0,,,
PASS,True,0.2.0-development,8,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.02670453747651444,1.962615573354719e-17,0.9951171875,0.002279222069773823,6.432097870856524e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,310002,do_nothing,True,False,,,,0,40,40,0,,0.1910736346945073,0.4515828318942902,,0.021726651990320534,0.0011560690472833812,1.0,,,
