status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310001,do_nothing,True,False,,,,0,40,40,0,,0.18998560844677947,0.4494756662659086,,0.021481251111254096,0.0011741850757971406,1.0,,,
PASS,True,0.2.0-development,4,310001,retained_residual,True,True,25,7,25,0,25,25,1,26,0.02566816787746983,0.05952668120245447,0.98779296875,0.008396149904001504,0.004168858984485269,6.0,24,,
PASS,True,0.2.0-development,4,310001,diagonal_secant,True,True,5,3,5,0,5,5,1,6,0.02514263234680488,0.05477592184228705,0.9892578125,0.006194595014676452,0.0009679708746261895,4.0,4,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310001,anderson_residual,True,False,,7,,0,40,40,0,,0.05850912977363953,0.09024699045638322,,0.01461194979492575,0.011327735846862197,16.0,,,
PASS,True,0.2.0-development,4,310001,commissioned_pi,True,True,16,5,16,2,14,16,1,17,0.023992639664687353,0.06043572733202686,0.98779296875,0.008258568064775318,0.001279423013329506,3.0,13,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310001,spsa,True,False,,,,0,14,40,0,,0.17617918113563666,0.41091423467616084,,0.038103101891465485,0.0006475470145232975,2.0,,,
PASS,True,0.2.0-development,4,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.015757475970887072,0.0,0.99462890625,0.001638502930290997,3.409304190427065e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310002,do_nothing,True,False,,,,0,40,40,0,,0.19675110294124992,0.452658657596236,,0.019545192073564976,0.0011377900373190641,1.0,,,
PASS,True,0.2.0-development,4,310002,retained_residual,True,True,19,7,19,0,19,19,1,20,0.009761809557385134,0.048219243460042464,0.98974609375,0.008654011937323958,0.003387065080460161,6.0,18,,
PASS,True,0.2.0-development,4,310002,diagonal_secant,True,True,12,8,12,0,12,12,1,13,0.021998072864917114,0.02437305129634803,0.99365234375,0.005047526035923511,0.001106096024159342,4.0,11,,
PASS,True,0.2.0-development,4,310002,anderson_residual,True,True,18,7,18,0,18,18,1,19,0.03131359305539301,0.08196058787606651,0.982421875,0.009812576055992395,0.006361217994708568,16.0,17,,
PASS,True,0.2.0-development,4,310002,commissioned_pi,True,True,12,7,12,2,10,12,1,13,0.03375393138169831,0.11182388121426577,0.97705078125,0.006470703112427145,0.0011004538973793387,3.0,9,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310002,spsa,True,False,,,,0,14,40,0,,0.1884510635757898,0.4311779966064414,,0.031018999870866537,0.0006467269849963486,2.0,,,
PASS,True,0.2.0-development,4,310002,oracle,False,True,3,1,3,0,3,3,1,4,0.01861041884613565,0.0,0.9951171875,0.0016568739083595574,5.103793228045106e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,310001,do_nothing,True,False,,,,0,40,40,0,,0.18936223868376514,0.45228288377537074,,0.0704204459907487,0.00314010406145826,1.0,,,
PASS,True,0.2.0-development,8,310001,retained_residual,True,True,18,7,18,0,18,18,1,19,0.026990930331995136,0.05515217480129887,0.990478515625,0.010497878945898265,0.0027607070514932275,6.0,17,,
PASS,True,0.2.0-development,8,310001,diagonal_secant,True,True,9,7,9,0,9,9,1,10,0.025178906917752514,0.02942365901071424,0.99365234375,0.006894541089423001,0.0013073300942778587,4.0,8,,
PASS,True,0.2.0-development,8,310001,anderson_residual,True,True,24,7,24,0,24,24,1,25,0.028982253292602966,0.0757933926113959,0.987060546875,0.021865640941541642,0.01617309998255223,16.0,23,,
PASS,True,0.2.0-development,8,310001,commissioned_pi,True,True,8,6,8,2,6,8,1,9,0.03245176752710694,0.08771212319904577,0.98291015625,0.012985228968318552,0.0011096569360233843,3.0,5,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,310001,spsa,True,False,,,,0,14,40,0,,0.1842316239754734,0.43670902434939124,,0.026415878848638386,0.0006342519773170352,2.0,,,
PASS,True,0.2.0-development,8,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.02670453747651444,1.962615573354719e-17,0.9951171875,0.0024547530338168144,7.974402979016304e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,310002,do_nothing,True,False,,,,0,40,40,0,,0.1910736346945073,0.4515828318942902,,0.031495712173637,0.002221468079369515,1.0,,,
PASS,True,0.2.0-development,8,310002,retained_residual,True,True,13,7,13,0,13,13,1,14,0.02587847439387605,0.06620445460497752,0.98974609375,0.01958797499537468,0.002504505799151957,6.0,12,,
PASS,True,0.2.0-development,8,310002,diagonal_secant,True,True,24,5,24,0,24,24,1,25,0.016358560550968813,0.0408026888908535,0.994140625,0.02046750480076298,0.005593172914814204,4.0,23,,
PASS,True,0.2.0-development,8,310002,anderson_residual,True,True,9,7,9,0,9,9,1,10,0.03206675817608085,0.06210634098116488,0.990478515625,0.010377434955444187,0.003340507042594254,16.0,8,,
PASS,True,0.2.0-development,8,310002,commissioned_pi,True,True,13,7,13,2,11,13,1,14,0.03221141574827485,0.07673170200203486,0.988037109375,0.004365490050986409,0.0004941989900544286,3.0,10,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,8,310002,spsa,True,False,,,,0,14,40,0,,0.18198970353297578,0.42499895000143445,,0.013619532866869122,0.00033658905886113644,2.0,,,
PASS,True,0.2.0-development,8,310002,oracle,False,True,3,1,3,0,3,3,1,4,0.023543594557104953,0.0,0.996337890625,0.0027552240644581616,8.025503484532237e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,310001,do_nothing,True,False,,,,0,40,40,0,,0.18934637188516662,0.45055548216566305,,0.02878334606066346,0.0016905171214602888,1.0,,,
PASS,True,0.2.0-development,16,310001,retained_residual,True,True,11,7,11,0,11,11,1,12,0.03277906121800741,0.044193922847509705,0.9912109375,0.012402177904732525,0.0020273379632271826,6.0,10,,
PASS,True,0.2.0-development,16,310001,diagonal_secant,True,True,36,7,36,0,36,36,1,37,0.017783030342046133,0.03514043648736675,0.992919921875,0.011090661981143057,0.0038227930199354887,4.0,35,,
PASS,True,0.2.0-development,16,310001,anderson_residual,True,True,15,7,15,0,15,15,1,16,0.029064592778319156,0.048788575489918426,0.990478515625,0.014657222083769739,0.006756662100087851,16.0,14,,
PASS,True,0.2.0-development,16,310001,commissioned_pi,True,True,7,5,7,2,5,7,1,8,0.023387298862238677,0.07756544708081728,0.9847412109375,0.004892373166512698,0.0004929380374960601,3.0,4,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,310001,spsa,True,False,,,,0,14,40,0,,0.1853956007420346,0.44304926627035396,,0.02424141112715006,0.0007724669412709773,2.0,,,
PASS,True,0.2.0-development,16,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.021424035389795124,2.881939084222627e-17,0.9947509765625,0.003918242931831628,6.876594852656126e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,310002,do_nothing,True,False,,,,0,40,40,0,,0.1767690138666062,0.45142419659007094,,0.023229700163938105,0.0011878107325173914,1.0,,,
PASS,True,0.2.0-development,16,310002,retained_residual,True,True,16,8,16,0,16,16,1,17,0.03394207788646475,0.06181983470452413,0.990966796875,0.012386579939629883,0.002823890943545848,6.0,15,,
PASS,True,0.2.0-development,16,310002,diagonal_secant,True,True,24,15,24,0,24,24,1,25,0.022678072055493596,0.04639799260802096,0.99267578125,0.011537116952240467,0.004983860999345779,4.0,23,,
PASS,True,0.2.0-development,16,310002,anderson_residual,True,True,18,7,18,0,18,18,1,19,0.03389902688362669,0.05523811077129616,0.99169921875,0.014252610970288515,0.008221847878303379,16.0,17,,
PASS,True,0.2.0-development,16,310002,commissioned_pi,True,True,8,6,8,2,6,8,1,9,0.024045605239905656,0.05576527364513944,0.9913330078125,0.005419787892606109,0.0005592169472947717,3.0,5,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,310002,spsa,True,False,,,,0,14,40,0,,0.17385202950690998,0.4432316006009505,,0.01613456808263436,0.0005857560317963362,2.0,,,
PASS,True,0.2.0-development,16,310002,oracle,False,True,3,1,3,0,3,3,1,4,0.023605302294027943,1.599923903925e-17,0.9962158203125,0.001166436995845288,4.3001899030059576e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,64,310001,do_nothing,True,False,,,,0,40,40,0,,0.1950762511985655,0.44997895867158316,,0.018442301836330444,0.001173568016383797,1.0,,,
PASS,True,0.2.0-development,64,310001,retained_residual,True,True,13,8,13,0,13,13,1,14,0.03427234080611927,0.05458750496787667,0.990509033203125,0.009018516982905567,0.003690245095640421,6.0,12,,
PASS,True,0.2.0-development,64,310001,diagonal_secant,True,True,31,20,31,0,31,31,1,32,0.02213704813760453,0.03581907173167868,0.99298095703125,0.018454627075698227,0.004178910981863737,4.0,30,,
PASS,True,0.2.0-development,64,310001,anderson_residual,True,True,14,12,14,0,14,14,1,15,0.03242239549517785,0.05187173485094077,0.99072265625,0.007518034952227026,0.0036554329562932253,16.0,13,,
PASS,True,0.2.0-development,64,310001,commissioned_pi,True,True,13,5,13,2,11,13,1,14,0.03219062072476876,0.056008742331431334,0.99005126953125,0.004144584236200899,0.0005209919181652367,3.0,10,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,64,310001,spsa,True,False,,,,0,14,40,0,,0.19232787398321086,0.44765621756820395,,0.014350863173604012,0.00042560906149446964,2.0,,,
PASS,True,0.2.0-development,64,310001,oracle,False,True,3,1,3,0,3,3,1,4,0.021354499480902664,1.9935173190268475e-17,0.994842529296875,0.0014609890058636665,3.341404953971505e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,64,310002,do_nothing,True,False,,,,0,40,40,0,,0.18580317614104724,0.4505201651117069,,0.022161786968354136,0.0012417758698575199,1.0,,,
PASS,True,0.2.0-development,64,310002,retained_residual,True,True,11,9,11,0,11,11,1,12,0.031014568877796002,0.056540842292758985,0.989990234375,0.0071133539895527065,0.0020084360730834305,6.0,10,,
PASS,True,0.2.0-development,64,310002,diagonal_secant,True,True,26,17,26,0,26,26,1,27,0.02429268227368578,0.36345373634236333,0.9830322265625,0.021911193034611642,0.0039190619718283415,4.0,25,,
