status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,True,0.1.0-draft,4,20260813,do_nothing,True,False,,,,0,40,40,0,,0.1915324048396327,0.45046147866298575,,5.825898264942225,0.001418597879819572,1.0,,,
PASS,True,0.1.0-draft,4,20260813,retained_residual,True,True,10,6,10,0,10,10,1,11,0.023343852828078934,0.021459290335953392,0.9912109375,1.615315254079178,0.0041743090259842575,6.0,9,,
PASS,True,0.1.0-draft,4,20260813,diagonal_secant,True,True,10,5,10,0,10,10,1,11,0.026532256917189516,0.057537656189304,0.9873046875,1.8523090339149348,0.0015913481474854052,4.0,9,,
PASS,True,0.1.0-draft,4,20260813,commissioned_pi,True,True,10,6,10,2,8,10,1,11,0.033813696905306445,0.055955264737018735,0.9892578125,1.5260130520910025,0.0012628600816242397,3.0,7,,
PASS,True,0.1.0-draft,4,20260813,dense_fd,True,True,12,10,12,5,7,12,1,13,0.021932607817124486,0.027405577661357015,0.99072265625,1.926440954033751,0.00590082403505221,5.0,6,,
PASS,True,0.1.0-draft,4,20260813,oracle,False,True,3,1,3,0,3,3,1,4,0.01974145308390169,0.0,0.99169921875,0.657087586063426,6.373104406520724e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.1.0-draft,4,20260814,do_nothing,True,False,,,,0,40,40,0,,0.20149464315199142,0.44781726378867875,,5.747873157903086,0.0014742710627615452,1.0,,,
PASS,True,0.1.0-draft,4,20260814,retained_residual,True,True,19,6,19,0,19,19,1,20,0.02890825006937231,0.03820213095363848,0.990234375,3.1392037279438227,0.0034587678965181112,6.0,18,,
PASS,True,0.1.0-draft,4,20260814,diagonal_secant,True,True,14,4,14,0,14,14,1,15,0.00683811697957076,0.06389079379548324,0.98486328125,2.4302726469468325,0.002082555089145899,4.0,13,,
PASS,True,0.1.0-draft,4,20260814,commissioned_pi,True,True,7,5,7,2,5,7,1,8,0.030766078095129233,0.035915773179156896,0.99072265625,1.1506873030448332,0.0004583360278047621,3.0,4,,
PASS,True,0.1.0-draft,4,20260814,dense_fd,True,True,15,9,15,5,10,15,1,16,0.02248812149995641,0.06109501058040719,0.98388671875,3.072344249987509,0.0021521830349229276,5.0,9,,
PASS,True,0.1.0-draft,4,20260814,oracle,False,True,3,1,3,0,3,3,1,4,0.010405375400940471,5.551115123125783e-17,0.99267578125,0.5375428940169513,6.876996485516429e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.1.0-draft,8,20260813,do_nothing,True,False,,,,0,40,40,0,,0.1960503754385749,0.45166571064567335,,11.408355678839143,0.0013073405716568232,1.0,,,
PASS,True,0.1.0-draft,8,20260813,retained_residual,True,True,19,9,19,0,19,19,1,20,0.027106069533697492,0.034867962913420425,0.986572265625,6.327408601006027,0.0035441439831629395,6.0,18,,
PASS,True,0.1.0-draft,8,20260813,diagonal_secant,True,True,19,9,19,0,19,19,1,20,0.02186234653172574,0.036316462350592486,0.98583984375,6.472914310870692,0.0033010169281624258,4.0,18,,
PASS,True,0.1.0-draft,8,20260813,commissioned_pi,True,True,18,7,18,2,16,18,1,19,0.01817310887327324,0.029322521618762174,0.98779296875,6.4542400279897265,0.001978520944248885,3.0,15,,
PASS,True,0.1.0-draft,8,20260813,dense_fd,True,True,26,21,26,9,17,26,1,27,0.03388270373565548,0.04959957948498485,0.984130859375,8.38538943324238,0.004430424130987376,9.0,16,,
PASS,True,0.1.0-draft,8,20260813,oracle,False,True,3,1,3,0,3,3,1,4,0.018385061597412267,1.962615573354719e-17,0.989990234375,1.3177392290672287,6.189302075654268e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.1.0-draft,8,20260814,do_nothing,True,False,,,,0,40,40,0,,0.1933581226963373,0.44889755385268815,,13.863715221057646,0.0015914321993477643,1.0,,,
PASS,True,0.1.0-draft,8,20260814,retained_residual,True,True,8,6,8,0,8,8,1,9,0.01967397043280257,0.03947478295260901,0.9892578125,3.493209791951813,0.0012629610719159245,6.0,7,,
PASS,True,0.1.0-draft,8,20260814,diagonal_secant,True,True,11,4,11,0,11,11,1,12,0.02777186801086592,0.026152367670080695,0.9912109375,4.264068051998038,0.0018862709985114634,4.0,10,,
