status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
FAIL_CONTRACT_TIMEOUT,True,0.1.0-draft,4,20260813,do_nothing,True,False,,,,0,24,24,0,,0.20886522978847383,0.44336797874809075,,0.24833131086779758,0.0007055759779177606,1.0,,,
PASS,True,0.1.0-draft,4,20260813,retained_residual,True,True,10,8,10,0,10,10,1,11,0.014664196438551127,0.017714638251799676,0.988525390625,0.11329613713314757,0.0039000410470180213,6.0,9,,
PASS,True,0.1.0-draft,4,20260813,diagonal_secant,True,True,7,5,7,0,7,7,1,8,0.02110334107672349,0.047744748396865905,0.98388671875,0.08466585900168866,0.0009027309715747833,4.0,6,,
PASS,True,0.1.0-draft,4,20260813,commissioned_pi,True,True,14,10,14,2,12,14,1,15,0.008939514946718585,0.02606913797835465,0.989013671875,0.1606895870063454,0.001072412880603224,3.0,11,,
PASS,True,0.1.0-draft,4,20260813,dense_fd,True,True,12,10,12,5,7,12,1,13,0.01979911229137686,0.0409562784958886,0.987060546875,0.14708465099101886,0.004914847842883319,5.0,6,,
PASS,True,0.1.0-draft,4,20260813,oracle,False,True,3,1,3,0,3,3,1,4,0.017257737649571368,0.0,0.989013671875,0.05416652502026409,6.997497985139489e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.1.0-draft,4,20260814,do_nothing,True,False,,,,0,24,24,0,,0.20427565929470784,0.4513905774823267,,0.2912978749955073,0.0009292760514654219,1.0,,,
PASS,True,0.1.0-draft,4,20260814,retained_residual,True,True,13,6,13,0,13,13,1,14,0.016210666332504717,0.04319737735082693,0.987548828125,0.17491842684103176,0.002054824959486723,6.0,12,,
PASS,True,0.1.0-draft,4,20260814,diagonal_secant,True,True,21,6,21,0,21,21,1,22,0.015322255705325123,0.02191251294381134,0.989990234375,0.2689056688686833,0.0030514347599819303,4.0,20,,
PASS,True,0.1.0-draft,4,20260814,commissioned_pi,True,True,16,6,16,2,14,16,1,17,0.016375289950824903,0.03683495696414158,0.988037109375,0.22816903103375807,0.001462403917685151,3.0,13,,
PASS,True,0.1.0-draft,4,20260814,dense_fd,True,True,17,9,17,5,12,17,1,18,0.01902388570206614,0.04490101981723025,0.989013671875,0.26802353700622916,0.0022534210002049804,5.0,11,,
PASS,True,0.1.0-draft,4,20260814,oracle,False,True,3,1,3,0,3,3,1,4,0.012378706145903695,5.551115123125783e-17,0.990234375,0.06320408900501207,6.068899529054761e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.1.0-draft,8,20260813,do_nothing,True,False,,,,0,24,24,0,,0.20715357207787072,0.45171408623688486,,1.5875717239105143,0.000797643035184592,1.0,,,
PASS,True,0.1.0-draft,8,20260813,retained_residual,True,True,13,11,13,0,13,13,1,14,0.018258389256140855,0.033828497402228944,0.9884033203125,1.0787603541393764,0.004904805100522935,6.0,12,,
PASS,True,0.1.0-draft,8,20260813,diagonal_secant,True,True,19,14,19,0,19,19,1,20,0.017565404739994166,0.023842028678346155,0.98876953125,1.2392695210292004,0.003140180022455752,4.0,18,,
PASS,True,0.1.0-draft,8,20260813,commissioned_pi,True,True,15,5,15,2,13,15,1,16,0.02341841874632805,0.036172217056357404,0.98779296875,0.7499146040645428,0.0017732800915837288,3.0,12,,
PASS,True,0.1.0-draft,8,20260813,dense_fd,True,True,21,19,21,9,12,21,1,22,0.01619261660038128,0.038262250702698716,0.9871826171875,0.7439935790025629,0.0022379860165528953,9.0,11,,
PASS,True,0.1.0-draft,8,20260813,oracle,False,True,3,1,3,0,3,3,1,4,0.018509659590844597,1.962615573354719e-17,0.9901123046875,0.15703956707147881,5.963107105344534e-05,1.0,2,,
FAIL_CONTRACT_TIMEOUT,True,0.1.0-draft,8,20260814,do_nothing,True,False,,,,0,24,24,0,,0.19170752481586342,0.45091056022219655,,1.183000553981401,0.0009423538576811552,1.0,,,
PASS,True,0.1.0-draft,8,20260814,retained_residual,True,True,16,9,16,0,16,16,1,17,0.01617230096891796,0.02824142661831905,0.9898681640625,0.751762823027093,0.0025607930729165673,6.0,15,,
PASS,True,0.1.0-draft,8,20260814,diagonal_secant,True,True,23,5,23,0,23,23,1,24,0.020575955122288988,0.035454235066733515,0.988525390625,1.1430903189466335,0.004128107044380158,4.0,22,,
PASS,True,0.1.0-draft,8,20260814,commissioned_pi,True,True,18,5,18,2,16,18,1,19,0.023550357895154386,0.026733322918005776,0.9892578125,0.9089184798649512,0.0015078241121955216,3.0,15,,
PASS,True,0.1.0-draft,8,20260814,dense_fd,True,True,21,19,21,9,12,21,1,22,0.0146361617467697,0.025754135880679006,0.98974609375,0.8823173889541067,0.0026365151279605925,9.0,11,,
PASS,True,0.1.0-draft,8,20260814,oracle,False,True,3,1,3,0,3,3,1,4,0.011503062581600517,1.962615573354719e-17,0.99072265625,0.2200730600161478,6.67900312691927e-05,1.0,2,,
