status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,probe_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,host_commissioning_seconds,host_ordinary_update_seconds,host_probe_update_seconds,traffic_scalars,traffic_bytes_float64,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
PASS,True,0.2.0-development,4,310001,retained_residual,True,True,25,7,25,0,25,0,25,1,26,0.02566816787746983,0.05952668120245447,0.98779296875,0.0057403690298087895,0.002556336054112762,0.0,0.002556336054112762,0.0,200,1600,6.0,24,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,4,310001,anderson_residual,True,False,,7,,0,180,0,180,0,,0.06176986991641363,0.09229586722144478,,0.06301249592797831,0.04655042430385947,0.0,0.04655042430385947,0.0,1440,11520,16.0,,,
PASS,True,0.2.0-development,4,310001,full_broyden,True,True,34,5,34,0,34,0,34,1,35,0.032504415578923744,0.04192024272749752,0.9912109375,0.015415642119478434,0.006522352225147188,0.0,0.006522352225147188,0.0,272,2176,7.0,33,,
PASS,True,0.2.0-development,4,310001,dense_fd,True,True,15,13,15,5,10,0,15,1,16,0.02845233530271569,0.023296222775737452,0.9931640625,0.0074397450080141425,0.0016398720326833427,2.4141976609826088e-05,0.0016157300560735166,0.0,120,960,5.0,9,,
PASS,True,0.2.0-development,4,310001,oracle,False,True,3,1,3,0,3,0,3,1,4,0.015757475970887072,0.0,0.99462890625,0.0011698249727487564,3.828492481261492e-05,0.0,3.828492481261492e-05,0.0,24,192,1.0,2,,
PASS,True,0.2.0-development,4,310002,retained_residual,True,True,19,7,19,0,19,0,19,1,20,0.009761809557385134,0.048219243460042464,0.98974609375,0.008598652901127934,0.002713227062486112,0.0,0.002713227062486112,0.0,152,1216,6.0,18,,
PASS,True,0.2.0-development,4,310002,anderson_residual,True,True,18,7,18,0,18,0,18,1,19,0.03131359305539301,0.08196058787606651,0.982421875,0.008562319097109139,0.005137836036738008,0.0,0.005137836036738008,0.0,144,1152,16.0,17,,
PASS,True,0.2.0-development,4,310002,full_broyden,True,True,6,4,6,0,6,0,6,1,7,0.025091611379129426,0.056683871289509705,0.9892578125,0.00245268689468503,0.0008173490059562027,0.0,0.0008173490059562027,0.0,48,384,7.0,5,,
PASS,True,0.2.0-development,4,310002,dense_fd,True,True,14,12,14,5,9,0,14,1,15,0.03363363869745503,0.07311624646795391,0.98486328125,0.006479677918832749,0.001284323981963098,2.013996709138155e-05,0.0012641840148717165,0.0,112,896,5.0,8,,
PASS,True,0.2.0-development,4,310002,oracle,False,True,3,1,3,0,3,0,3,1,4,0.01861041884613565,0.0,0.9951171875,0.0021524620824493468,5.373498424887657e-05,0.0,5.373498424887657e-05,0.0,24,192,1.0,2,,
PASS,True,0.2.0-development,8,310001,retained_residual,True,True,18,7,18,0,18,0,18,1,19,0.026990930331995136,0.05515217480129887,0.990478515625,0.008684269967488945,0.002727497078012675,0.0,0.002727497078012675,0.0,288,2304,6.0,17,,
PASS,True,0.2.0-development,8,310001,anderson_residual,True,True,24,7,24,0,24,0,24,1,25,0.028982253292602966,0.0757933926113959,0.987060546875,0.012463841994758695,0.0071427912334911525,0.0,0.0071427912334911525,0.0,384,3072,16.0,23,,
PASS,True,0.2.0-development,8,310001,full_broyden,True,True,15,13,15,0,15,0,15,1,16,0.024085156314541376,0.030082939049609004,0.99365234375,0.008168952073901892,0.004017362778540701,0.0,0.004017362778540701,0.0,240,1920,11.0,14,,
PASS,True,0.2.0-development,8,310001,dense_fd,True,True,39,31,39,9,30,0,39,1,40,0.028910182994618318,0.03886633721162688,0.99267578125,0.015586523222737014,0.0050878001493401825,2.8684036806225777e-05,0.005059116112533957,0.0,624,4992,9.0,29,,
PASS,True,0.2.0-development,8,310001,oracle,False,True,3,1,3,0,3,0,3,1,4,0.02670453747651444,1.962615573354719e-17,0.9951171875,0.001920432026963681,5.034799687564373e-05,0.0,5.034799687564373e-05,0.0,48,384,1.0,2,,
PASS,True,0.2.0-development,8,310002,retained_residual,True,True,13,7,13,0,13,0,13,1,14,0.02587847439387605,0.06620445460497752,0.98974609375,0.006690693087875843,0.0018042439478449523,0.0,0.0018042439478449523,0.0,208,1664,6.0,12,,
PASS,True,0.2.0-development,8,310002,anderson_residual,True,True,9,7,9,0,9,0,9,1,10,0.03206675817608085,0.06210634098116488,0.990478515625,0.005323183082509786,0.0020945820724591613,0.0,0.0020945820724591613,0.0,144,1152,16.0,8,,
PASS,True,0.2.0-development,8,310002,full_broyden,True,True,6,4,6,0,6,0,6,1,7,0.03364504513048583,0.051339765446500644,0.99267578125,0.0032401830540038645,0.0015753310872241855,0.0,0.0015753310872241855,0.0,96,768,11.0,5,,
PASS,True,0.2.0-development,8,310002,dense_fd,True,True,21,19,21,9,12,0,21,1,22,0.033438911229950914,0.04035543484776881,0.993896484375,0.00817343802191317,0.0015300618833862245,2.529396442696452e-05,0.00150476791895926,0.0,336,2688,9.0,11,,
PASS,True,0.2.0-development,8,310002,oracle,False,True,3,1,3,0,3,0,3,1,4,0.023543594557104953,0.0,0.996337890625,0.0015214299783110619,4.814198473468423e-05,0.0,4.814198473468423e-05,0.0,48,384,1.0,2,,
PASS,True,0.2.0-development,16,310001,retained_residual,True,True,11,7,11,0,11,0,11,1,12,0.03277906121800741,0.044193922847509705,0.9912109375,0.007308534055482596,0.0017813390004448593,0.0,0.0017813390004448593,0.0,352,2816,6.0,10,,
PASS,True,0.2.0-development,16,310001,anderson_residual,True,True,15,7,15,0,15,0,15,1,16,0.029064592778319156,0.048788575489918426,0.990478515625,0.0039940737769939005,0.002333233947865665,0.0,0.002333233947865665,0.0,480,3840,16.0,14,,
PASS,True,0.2.0-development,16,310001,full_broyden,True,True,15,13,15,0,15,0,15,1,16,0.02546395203968515,0.03832270232510732,0.9920654296875,0.008419568941462785,0.0036049901391379535,0.0,0.0036049901391379535,0.0,480,3840,19.0,14,,
PASS,True,0.2.0-development,16,310001,dense_fd,True,True,44,42,44,17,27,0,44,1,45,0.022030309697639673,0.04701917081432764,0.9910888671875,0.013623575039673597,0.0030501389992423356,8.70529911480844e-05,0.002963086008094251,0.0,1408,11264,17.0,26,,
PASS,True,0.2.0-development,16,310001,oracle,False,True,3,1,3,0,3,0,3,1,4,0.021424035389795124,2.881939084222627e-17,0.9947509765625,0.0023044029367156327,0.0001746129710227251,0.0,0.0001746129710227251,0.0,96,768,1.0,2,,
PASS,True,0.2.0-development,16,310002,retained_residual,True,True,16,8,16,0,16,0,16,1,17,0.03394207788646475,0.06181983470452413,0.990966796875,0.007262452854774892,0.002154504938516766,0.0,0.002154504938516766,0.0,512,4096,6.0,15,,
PASS,True,0.2.0-development,16,310002,anderson_residual,True,True,18,7,18,0,18,0,18,1,19,0.03389902688362669,0.05523811077129616,0.99169921875,0.007928832899779081,0.004062868014443666,0.0,0.004062868014443666,0.0,576,4608,16.0,17,,
PASS,True,0.2.0-development,16,310002,full_broyden,True,True,14,12,14,0,14,0,14,1,15,0.030358410606439512,0.05450695049073817,0.99169921875,0.005052266060374677,0.00212745409226045,0.0,0.00212745409226045,0.0,448,3584,19.0,13,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,310002,dense_fd,True,False,,,,17,163,0,180,0,,0.07998966355155628,0.18912145370077438,,0.07635896798456088,0.02613458363339305,4.501896910369396e-05,0.026089564664289355,0.0,5760,46080,17.0,,,
PASS,True,0.2.0-development,16,310002,oracle,False,True,3,1,3,0,3,0,3,1,4,0.023605302294027943,1.599923903925e-17,0.9962158203125,0.0029120289254933596,5.862500984221697e-05,0.0,5.862500984221697e-05,0.0,96,768,1.0,2,,
PASS,True,0.2.0-development,32,310001,retained_residual,True,True,14,7,14,0,14,0,14,1,15,0.02132534644783493,0.037504117377061344,0.9921875,0.00836218212498352,0.0023620460415259004,0.0,0.0023620460415259004,0.0,896,7168,6.0,13,,
PASS,True,0.2.0-development,32,310001,anderson_residual,True,True,31,7,31,0,31,0,31,1,32,0.0340703304721966,0.05897328275999178,0.9888916015625,0.02137241407763213,0.010857771034352481,0.0,0.010857771034352481,0.0,1984,15872,16.0,30,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,32,310001,full_broyden,True,False,,,,0,180,0,180,0,,0.07007719775025532,0.4112429181239238,,0.07305317558348179,0.04269609251059592,0.0,0.04269609251059592,0.0,11520,92160,35.0,,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,32,310001,dense_fd,True,False,,,,33,147,0,180,0,,0.29534672142736246,1.553183459113596,,0.059056643513031304,0.023453433823306113,8.20700079202652e-05,0.02337136381538585,0.0,11520,92160,33.0,,,
