status,development_run,protocol_version,width,seed,controller,ranked,contract_success,acquisitions_to_contract,first_monitor_pass_acquisition,confirmed_monitor_entry_acquisition,commissioning_acquisitions,ordinary_monitor_acquisitions,total_monitor_acquisitions,payload_validation_acquisitions,total_quantum_executions_to_usable,final_measured_monitor_rmse,final_evaluator_only_phase_rmse,payload_bitwise_zero_probability_at_entry,simulator_runtime_seconds,host_update_seconds,controller_mutable_float_words_per_channel,controller_updates_to_contract,error_type,error_message
PASS,True,0.2.0-development,4,310001,full_broyden,True,True,34,5,34,0,34,34,1,35,0.032504415578923744,0.04192024272749752,0.9912109375,0.011081886128522456,0.005044809076935053,7.0,33,,
PASS,True,0.2.0-development,4,310001,dense_fd,True,True,15,13,15,5,10,15,1,16,0.02845233530271569,0.023296222775737452,0.9931640625,0.008070460055023432,0.00415222009178251,5.0,9,,
PASS,True,0.2.0-development,4,310002,full_broyden,True,True,6,4,6,0,6,6,1,7,0.025091611379129426,0.056683871289509705,0.9892578125,0.005257871060166508,0.001306035032030195,7.0,5,,
PASS,True,0.2.0-development,4,310002,dense_fd,True,True,14,12,14,5,9,14,1,15,0.03363363869745503,0.07311624646795391,0.98486328125,0.006080681981984526,0.001352245919406414,5.0,8,,
PASS,True,0.2.0-development,8,310001,full_broyden,True,True,15,13,15,0,15,15,1,16,0.024085156314541376,0.030082939049609004,0.99365234375,0.01202452089637518,0.004456091905012727,11.0,14,,
PASS,True,0.2.0-development,8,310001,dense_fd,True,True,39,31,39,9,30,39,1,40,0.028910182994618318,0.03886633721162688,0.99267578125,0.023664377920795232,0.006235676119104028,9.0,29,,
PASS,True,0.2.0-development,8,310002,full_broyden,True,True,6,4,6,0,6,6,1,7,0.03364504513048583,0.051339765446500644,0.99267578125,0.0036958110285922885,0.0012085519847460091,11.0,5,,
PASS,True,0.2.0-development,8,310002,dense_fd,True,True,21,19,21,9,12,21,1,22,0.033438911229950914,0.04035543484776881,0.993896484375,0.04369371582288295,0.0032294311677105725,9.0,11,,
PASS,True,0.2.0-development,12,310001,full_broyden,True,True,15,13,15,0,15,15,1,16,0.026924645309213586,0.028247138264824462,0.9930013020833334,0.007986796146724373,0.004615347017534077,15.0,14,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,12,310001,dense_fd,True,False,,,,13,27,40,0,,0.31523257652503944,1.2213190851975493,,0.03708173893392086,0.014240810880437493,13.0,,,
PASS,True,0.2.0-development,12,310002,full_broyden,True,True,8,6,8,0,8,8,1,9,0.024228830188132478,0.04540987034405794,0.99267578125,0.005250255984719843,0.00405149586731568,15.0,7,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,12,310002,dense_fd,True,False,,,,13,27,40,0,,0.2165325260015566,1.172022575693607,,0.02508040698012337,0.010238470043987036,13.0,,,
PASS,True,0.2.0-development,16,310001,full_broyden,True,True,15,13,15,0,15,15,1,16,0.02546395203968515,0.03832270232510732,0.9920654296875,0.011158352077472955,0.003509202098939568,19.0,14,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,310001,dense_fd,True,False,,,,17,23,40,0,,0.043283566368172446,0.08618211837662473,,0.0881369011476636,0.02063312183599919,17.0,,,
PASS,True,0.2.0-development,16,310002,full_broyden,True,True,14,12,14,0,14,14,1,15,0.030358410606439512,0.05450695049073817,0.99169921875,0.0049085409846156836,0.002706861065234989,19.0,13,,
FAIL_CONTRACT_TIMEOUT,True,0.2.0-development,16,310002,dense_fd,True,False,,,,17,23,40,0,,0.0773711791674322,0.16600936994639007,,0.021510298014618456,0.0052037357236258686,17.0,,,
