seed,arm,contract_success,contract_entry_acquisition,contract_at_deadline,final_monitor_rmse,final_payload_bitwise_zero,ordinary_acquisitions,discarded_probe_acquisitions,provider_execution_seconds_to_contract,provider_execution_seconds_total,provider_job_create_to_finish_seconds_to_contract,provider_job_create_to_finish_seconds_total,client_wall_seconds,controller_update_seconds,controller_update_seconds_to_contract,infrastructure_failures,orchestration_resumed,network_retry_count,source_sha256
492734311,commissioned_pi,True,4,True,0.016672767079019248,0.93048095703125,3,2,12.008148,15.009637,612.5462580000001,626.431222,261.142444,0.00010787794599309564,9.112292900681496e-05,0,False,0,e7bb47b9b7a7694b88b505a3da4a7c263f666c53765f6bf411cfbcfd333c851d
492734311,dense_fd,False,,False,0.21265913250137672,0.8707275390625,0,5,,14.718188999999999,,664.1982969999999,272.738682,0.00012363912537693977,,0,False,0,1a5f291e3c45e50cfc6d10fc20ed2cb42461c1e165ed81e7c8a093f3d47fe817
492734311,diagonal_secant,True,4,True,0.007327269872294394,0.92730712890625,5,0,12.23752,15.188892,623.1881569999999,641.454355,261.995418,0.00012056395644322038,0.00010520091746002436,0,False,0,270443585c2f4a87308892f0862ef7a6503e32dadfacdffa92667775104e1521
492734311,do_nothing,False,,False,0.20076343590938817,0.87872314453125,5,0,,16.024749,,647.12047,272.114025,1.3803073670715094e-05,,0,False,0,bfb4e4970a81de42bbc77eb0cf5cdf3163f48bd2d353f9a9fc14cd243a345dac
492734311,retained_residual,True,4,True,0.03135971835508673,0.9246826171875,5,0,11.941517000000001,15.198247,606.270191,623.282617,252.887169,0.00016819301526993513,0.0001508240238763392,0,False,0,c9c931a9fe21a8911612bdace5bc57aeeaadd613073929e5f9c6d50dab1cffb4
1411640080,commissioned_pi,True,4,True,0.03650759593100203,0.924560546875,3,2,11.826175,15.233533999999999,1053.906148,2066.98642,2127.709013,0.0001582779223099351,0.00012182595673948526,0,False,0,d2d807a204972d2ce8f4549bc42e746dfb51a7e1c8ec8a744d8d46fad8c0cf34
1411640080,dense_fd,False,,False,0.20080106318342433,0.86981201171875,0,5,,15.766379,,2066.621412,2148.898024,0.0001475279568694532,,0,False,0,eec58c73c43cac69ec579e561bf2a04a8c780a287ed5eab85fd3099315ceb1c7
1411640080,diagonal_secant,True,4,True,0.01894451021678367,0.92388916015625,5,0,11.907065,14.866176,1045.677736,2064.576914,2135.550269,0.0001400740584358573,0.00011647009523585439,0,False,0,a12c4de43c25ba0b4a26e6f02e25ffa507022c2f09c197cd6312544bf00fd380
1411640080,do_nothing,False,,False,0.1893706387939855,0.88323974609375,5,0,,16.151893,,1303.067837,1373.639163,8.631031960248947e-06,,0,False,0,bf623a831a0c2f8a30d06999fa431385214a8036081058d7cd7882fc86057a3e
1411640080,retained_residual,True,4,True,0.011879768418068223,0.92657470703125,5,0,12.231529,15.169829,1051.674487,2072.826078,2152.403296,0.00017722207121551037,0.00015009002527222037,0,False,0,80dc02c8cacd43268d757e5fb2453d4c0f842f2deafc47760e3a5021964266ab
1568158650,commissioned_pi,True,4,True,0.023022797502179334,0.9273681640625,3,2,11.898381,15.562663,75.18732,97.962363,152.317369,8.934398647397757e-05,7.935299072414637e-05,0,False,0,402ef44401807eeb4026ee07fa263777699b805e686cc68c2706bde05ff0c1e6
1568158650,dense_fd,False,,False,0.19990626612226842,0.8533935546875,0,5,,14.873196,,119.507351,185.005683,0.00016041408525779843,,0,False,0,774ad47144f8c42d23010666c768dbaf8dca65ee741c7339d8719daa933a37b3
1568158650,diagonal_secant,True,5,True,0.014880065664484896,0.92669677734375,5,0,14.87565,14.87565,101.784429,101.784429,162.808981,0.0001118939253501594,0.0001118939253501594,0,False,0,d662e6d60b253febcb05600f01587c509a766c6c486c1e20cf3e735ce7197422
1568158650,do_nothing,False,,False,0.20567985539239855,0.8499755859375,5,0,,15.745451,,94.942886,174.111654,1.0149960871785879e-05,,0,False,0,35b152fd76163757d80508bcc2369594e568b98e2edf894bd48f13d0558b776a
1568158650,retained_residual,True,4,True,0.025124846102115097,0.92706298828125,5,0,11.881302999999999,15.175763,91.23483,116.936776,195.490093,0.00013900292105972767,0.00011173292296007276,0,False,0,eded2684cb3def18432957a17b0c1fc971eea120043d18aa5e1337606321bfb6
